,objectid,listed_tax,map_taxon,scientific,vernacular,threatened,migratory,marine,cetacean,presence_r,presence_c,extract_da,taxon_grou,taxon_fami,taxon_orde,taxon_clas,taxon_phyl,taxon_king,other_ids,cell_size,regions,attributio,sprat_prof,shape_leng,shape_area,species
1897,1897,11727,11727,Caladenia audasii,"McIvor Spider-orchid, Audas' Spider-orchid",Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,76193,0.1,VIC; SA,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=11727,7.199999306,0.769999875,Caladenia audasii
4024,4024,68686,68686,Caladenia barbarella,"Small Dragon Orchid, Common Dragon Orchid",Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"567,216,728,767,376",0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=68686,5.659999679,0.117199987,Caladenia barbarella
4032,4032,68686,68686,Caladenia barbarella,"Small Dragon Orchid, Common Dragon Orchid",Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"567,216,728,767,376",0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=68686,16.71999909,0.448799949,Caladenia barbarella
14,14,11161,11161,Caladenia behrii,Pink-lipped Spider-orchid,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,76220,0.1,SA,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=11161,1.199999909,0.029999995,Caladenia behrii
559,559,11161,11161,Caladenia behrii,Pink-lipped Spider-orchid,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,76220,0.1,SA,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=11161,2.79999975,0.149999977,Caladenia behrii
412,412,54993,54993,Caladenia brumalis,Winter Spider-orchid,Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,76221,0.1,SA,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=54993,10.59999921,0.699999893,Caladenia brumalis
413,413,54993,54993,Caladenia brumalis,Winter Spider-orchid,Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,76221,0.1,SA,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=54993,18.39999855,1.709999744,Caladenia brumalis
1269,1269,64503,64503,Caladenia bryceana subsp. bryceana,Dwarf Spider-orchid,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,NA,0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64503,4.559999626,0.096799985,Caladenia bryceana bryceana
1270,1270,64503,64503,Caladenia bryceana subsp. bryceana,Dwarf Spider-orchid,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,NA,0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64503,3.559999755,0.012499998,Caladenia bryceana bryceana
3271,3271,64556,64556,Caladenia bryceana subsp. cracens,Northern Dwarf Spider-orchid,Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"6,739,878,111",0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64556,10.73999943,0.592599932,Caladenia bryceana cracens
3365,3365,64556,64556,Caladenia bryceana subsp. cracens,Northern Dwarf Spider-orchid,Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"6,739,878,111",0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64556,3.319999822,0.063899993,Caladenia bryceana cracens
785,785,24369,24369,Caladenia busselliana,Bussell's Spider-orchid,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"672,246,734,978,684",0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=24369,4.639999635,0.022899997,Caladenia busselliana
1075,1075,24369,24369,Caladenia busselliana,Bussell's Spider-orchid,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"672,246,734,978,684",0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=24369,4.999999591,0.045299993,Caladenia busselliana
3302,3302,64856,64856,Caladenia caesarea subsp. maritima,Cape Spider-orchid,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"6,455,767,268,673,320,000,000,000",0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64856,0.299999979,0.0017,Caladenia caesarea maritima
3303,3303,64856,64856,Caladenia caesarea subsp. maritima,Cape Spider-orchid,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"6,455,767,268,673,320,000,000,000",0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64856,0.35999998,0.003899999,Caladenia caesarea maritima
698,698,10065,10065,Caladenia calcicola,Limestone Spider-orchid,Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,76195,0.1,VIC; SA,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10065,2.799999725,0.109999981,Caladenia calcicola
3304,3304,64857,64857,Caladenia campbellii,"Thick-stem Caladenia, Thick-stem Fairy Fingers",Critically Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,76232,0.01,TAS,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64857,0.479999949,0.004599999,Caladenia campbellii
3305,3305,64857,64857,Caladenia campbellii,"Thick-stem Caladenia, Thick-stem Fairy Fingers",Critically Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,76232,0.01,TAS,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64857,0.159999986,0.0016,Caladenia campbellii
2875,2875,17067,17067,Caladenia caudata,Tailed Spider-orchid,Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,76222,0.01,TAS,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=17067,20.69999787,0.458099912,Caladenia caudata
2876,2876,17067,17067,Caladenia caudata,Tailed Spider-orchid,Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,76222,0.01,TAS,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=17067,40.419996,0.983799812,Caladenia caudata
968,968,56716,56716,Caladenia christineae,Christine's Spider Orchid,Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"24,385,672,706,736,500,000",0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56716,14.13999872,0.300099954,Caladenia christineae
1052,1052,56716,56716,Caladenia christineae,Christine's Spider Orchid,Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"24,385,672,706,736,500,000",0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56716,11.95999895,0.461099929,Caladenia christineae
